X,Y,FID,objectid,type,feature_gp,feature_id,asset_id,site_code,site_name,plot_no,location,prim_meas,unit,xy_accurac,sym_code,sym_rot,modified,sculpture,artist,installed,photo_link,label,GlobalID
174.7800425,-41.29307103,85,0,P-Sculpture,PSCU,47,1321132,R0386,Courtenay Pl,7000215,"Courtenay Place (Centre of roadway between Tory to Taranaki Streets).   Title/Year: Punga Peke - New Life (2000). Artist: Mike Murray. Consists of Cast iron, patina.   Comments: 2 metal sculptures.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Punga Peke,Mike Murray,2000, ,no,{C01B98E5-CB8F-4698-8D09-CA60C126D33B}
174.7791324,-41.29274144,86,0,P-Sculpture,PSCU,48,1290492,R0386,Courtenay Pl,7000179,"""Te Moana"" (2000) - carved sculpture in paved area, Nth end of Courtenay Pl.  Artist: Okiwi (Logan) Shipgood. White Kairuru marble, concrete base.  Origin/Provenance: Donated by Wgtn Sculpture Trust. Sculpted 1999 Tareitanga symposium Frank Kitts Pk",1,No., ,0,0,1899-12-30T00:00:00.000Z,Te Moana,Logan Shipgood,1999, ,no,{0BDA232A-EFEE-4437-B18D-8BC01692B98B}
174.7767285,-41.29160802,87,0,P-Mon.&Memorial-Plaque,PMME,50,1316197,R0401,Cuba St,7000154,Cuba Mall.   Title/Year: Wellington a Sri Chinmoy Peace Capital (2002).   Comments: Wellington joins the global family of Sri Chinmoy Peace Blossoms - significant and inspiring places around the world dedicated to world harmony.,1,No., ,0,0,1899-12-30T00:00:00.000Z,Wellington a Sri Chinmoy Peace Capital,Unknown,2002, ,no,{B8B1BEF0-C1A5-429F-9DE6-E6DCD0BDB4C2}
174.817763,-41.22998123,88,0,P-Mon.&Memorial-Memorial,PMME,63,R108307000104.0,R1083,Newlands Rd,7000104,Concrete memorial with a concrete slab leading up to it,1,No., ,0,0,1899-12-30T00:00:00.000Z,Newlands War Memorial, , , , ,{78C3B5BE-8DB3-40F2-AD35-5151416A44C9}
174.8127192,-41.34218855,89,0,P-Sculpture,PSCU,1,P020707000352,P0509,Moa Point,7000112,"Boulder sculpture just past the pound on Moa Point Rd on the south side (""Doo Doo's"").  Artist: Peter Kundycki.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Doo Doos,Peter Kundycki,1998, , ,{CA64D25F-E283-470B-82C6-4B64EC51BA01}
174.7934689,-41.33826931,90,0,P-Sculpture,PSCU, ,1329428,P3347,Dorrie Leslie Park,7000125,"Moai statue overlooking the sea, and description plaque nearby.  Material: Hinuera Stone Artist: Tevo Pakarati. Protectosil Antigraffiti coating applied to statue. See photo for plaque detail, and attributes for other detail.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Moai,Tevo Pakarati,2004, , ,{79E3A9F0-1C0C-4629-AD98-FEA31AA135B2}
174.7958829,-41.25578841,91,0,P-Mon.&Memorial-Memorial,PMME,13,1321093,P0491,Kaiwharawhara Park,7000134,Bronze plaque on stone/concrete plinth sited at the entranceway to the park from Hutt Road on the grass bank. Origin/Provenance: Wellington Historic Early Settlers.  Comments: For Clan Cameron,1,No., ,0,0,1899-12-30T00:00:00.000Z,Cairn to Scots, , , , ,{A61C673D-F01A-4297-845F-75013EF10AF3}
174.781926,-41.2974448,92,0,P-Mon.&Memorial-Memorial,PMME,33,P137107000120.0,P1371,Kent/Cambridge Terrace Reserve,7000120,"The Greek memorial (1991).  Artist: Michael Phanoulas. Consists of concrete, stone, marble, alloy flagpoles (2). 8 Brass Plaques.",1,No., ,0,0,1899-12-30T00:00:00.000Z,Greek Memorial, ,1991, ,no,{7FCD53E6-295C-4EDA-8843-D6C396F8F128}
174.7831907,-41.29522819,93,0,P-Mon.&Memorial-Statue,PMME,34,P137107000161.0,P1371,Kent/Cambridge Terrace Reserve,7000161,Queen Victoria Statue (1905).  Bronze on Aberdeen granite pedestal.  Artist: Alfred Drury.  Origin/Provenance:  Gifted in 1902 by the citizens of Wellington.,1,No., ,0,0,1899-12-30T00:00:00.000Z,Queen Victoria Statue,Alfred Drury,1905, ,no,{35AA9EB7-70F9-4FEA-85F7-2EB056AA5CC7}
174.773431,-41.24845499,94,0,P-Sculpture,PSCU,35,1290353,P1636,Cummings Park & Play Area,7000198,"Carved marble sulpture on grass beside bridge -Primordial Ancestors  by Ian Prior . Presented to the people of Ngaio by the Wellington Sculpture Trust. January 2000. Constructed by the Ngaio Progressive Association and the Wellington City Council""",1,No., ,0,0,1899-12-30T00:00:00.000Z,Primoridial Ancestors,Ian Prior,2000, , ,{A5FA97A1-176A-45E9-ADC5-94A6AD9D1396}
